,league,side,teamname,result,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
36646,LCS,Blue,Golden Guardians,0,23784.0,30098.0,529.0,24062.0,31682.0,553.0,-278.0,-1584.0,-24.0,1.0,3.0,0.0,0.0,0.0,1.0
36647,LCS,Red,Immortals,1,24062.0,31682.0,553.0,23784.0,30098.0,529.0,278.0,1584.0,24.0,0.0,0.0,1.0,1.0,3.0,0.0
36730,LCK,Blue,Gen.G,0,23165.0,28450.0,497.0,28306.0,32006.0,560.0,-5141.0,-3556.0,-63.0,2.0,3.0,6.0,6.0,10.0,2.0
36731,LCK,Red,Kwangdong Freecs,1,28306.0,32006.0,560.0,23165.0,28450.0,497.0,5141.0,3556.0,63.0,6.0,10.0,2.0,2.0,3.0,6.0
36742,LPL,Blue,Victory Five,0,24579.0,31546.0,552.0,24866.0,31735.0,587.0,-287.0,-189.0,-35.0,3.0,4.0,2.0,2.0,1.0,3.0
36743,LPL,Red,LNG Esports,1,24866.0,31735.0,587.0,24579.0,31546.0,552.0,287.0,189.0,35.0,2.0,1.0,3.0,3.0,4.0,2.0
36790,LPL,Blue,Victory Five,0,22662.0,28916.0,514.0,25143.0,30479.0,502.0,-2481.0,-1563.0,12.0,1.0,2.0,4.0,4.0,8.0,1.0
36791,LPL,Red,LNG Esports,1,25143.0,30479.0,502.0,22662.0,28916.0,514.0,2481.0,1563.0,-12.0,4.0,8.0,1.0,1.0,2.0,4.0
36838,LCK,Blue,Kwangdong Freecs,0,24741.0,29732.0,495.0,25749.0,30851.0,553.0,-1008.0,-1119.0,-58.0,3.0,8.0,3.0,3.0,2.0,3.0
36839,LCK,Red,Gen.G,1,25749.0,30851.0,553.0,24741.0,29732.0,495.0,1008.0,1119.0,58.0,3.0,2.0,3.0,3.0,8.0,3.0
36850,LPL,Blue,Rare Atom,1,28696.0,33575.0,597.0,23464.0,30677.0,538.0,5232.0,2898.0,59.0,6.0,6.0,1.0,1.0,1.0,6.0
36851,LPL,Red,Oh My God,0,23464.0,30677.0,538.0,28696.0,33575.0,597.0,-5232.0,-2898.0,-59.0,1.0,1.0,6.0,6.0,6.0,1.0
36886,VCS,Blue,Team Flash,0,24261.0,27740.0,523.0,28094.0,31187.0,553.0,-3833.0,-3447.0,-30.0,3.0,5.0,5.0,5.0,8.0,3.0
36887,VCS,Red,Saigon Buffalo,1,28094.0,31187.0,553.0,24261.0,27740.0,523.0,3833.0,3447.0,30.0,5.0,8.0,3.0,3.0,5.0,5.0
36898,LCK,Blue,Gen.G,1,24200.0,29214.0,513.0,25973.0,30907.0,531.0,-1773.0,-1693.0,-18.0,4.0,6.0,7.0,7.0,7.0,4.0
36899,LCK,Red,Kwangdong Freecs,0,25973.0,30907.0,531.0,24200.0,29214.0,513.0,1773.0,1693.0,18.0,7.0,7.0,4.0,4.0,6.0,7.0
36934,LPL,Blue,Oh My God,1,26223.0,32961.0,542.0,25691.0,33416.0,614.0,532.0,-455.0,-72.0,4.0,4.0,3.0,3.0,1.0,4.0
36935,LPL,Red,Rare Atom,0,25691.0,33416.0,614.0,26223.0,32961.0,542.0,-532.0,455.0,72.0,3.0,1.0,4.0,4.0,4.0,3.0
36982,VCS,Blue,Saigon Buffalo,1,26827.0,32159.0,528.0,26148.0,31720.0,545.0,679.0,439.0,-17.0,9.0,12.0,7.0,7.0,16.0,9.0
36983,VCS,Red,Team Flash,0,26148.0,31720.0,545.0,26827.0,32159.0,528.0,-679.0,-439.0,17.0,7.0,16.0,9.0,9.0,12.0,7.0
37018,LCK,Blue,Liiv SANDBOX,0,22263.0,27989.0,534.0,27119.0,31005.0,562.0,-4856.0,-3016.0,-28.0,0.0,0.0,6.0,6.0,9.0,0.0
37019,LCK,Red,Nongshim RedForce,1,27119.0,31005.0,562.0,22263.0,27989.0,534.0,4856.0,3016.0,28.0,6.0,9.0,0.0,0.0,0.0,6.0
37030,LPL,Blue,Rare Atom,1,28705.0,31752.0,567.0,24352.0,30052.0,505.0,4353.0,1700.0,62.0,7.0,19.0,2.0,2.0,6.0,7.0
37031,LPL,Red,Oh My God,0,24352.0,30052.0,505.0,28705.0,31752.0,567.0,-4353.0,-1700.0,-62.0,2.0,6.0,7.0,7.0,19.0,2.0
37090,VCS,Blue,SBTC Esports,0,24534.0,28160.0,486.0,28454.0,31869.0,510.0,-3920.0,-3709.0,-24.0,4.0,5.0,11.0,11.0,22.0,4.0
37091,VCS,Red,Luxury Esports,1,28454.0,31869.0,510.0,24534.0,28160.0,486.0,3920.0,3709.0,24.0,11.0,22.0,4.0,4.0,5.0,11.0
37102,LPL,Blue,Suning,1,29228.0,32431.0,522.0,24122.0,29150.0,505.0,5106.0,3281.0,17.0,10.0,13.0,4.0,4.0,7.0,10.0
37103,LPL,Red,Invictus Gaming,0,24122.0,29150.0,505.0,29228.0,32431.0,522.0,-5106.0,-3281.0,-17.0,4.0,7.0,10.0,10.0,13.0,4.0
37162,LCK,Blue,Nongshim RedForce,1,25361.0,29739.0,517.0,23198.0,28741.0,540.0,2163.0,998.0,-23.0,4.0,9.0,1.0,1.0,2.0,4.0
37163,LCK,Red,Liiv SANDBOX,0,23198.0,28741.0,540.0,25361.0,29739.0,517.0,-2163.0,-998.0,23.0,1.0,2.0,4.0,4.0,9.0,1.0
37198,LPL,Blue,Invictus Gaming,0,25260.0,32096.0,541.0,25986.0,31525.0,570.0,-726.0,571.0,-29.0,5.0,9.0,3.0,3.0,3.0,5.0
